emp_id,name,age,degree,gender,country,dept_id,hire_date,salary
1,Liam Smith,39,MS,MALE,UK,20,2025-12-18,71395
2,Abigail Lewis,24,BS,MALE,GERMANY,40,2024-10-01,133563
3,Sophia King,48,MS,FEMALE,AUSTRALIA,50,2020-03-23,115392
4,Lucas Rodriguez,31,MS,FEMALE,CANADA,20,2023-02-12,105082
5,Alexander Rodriguez,24,PHD,MALE,SPAIN,20,2024-05-27,142397
6,Alexander Lopez,58,MS,MALE,USA,40,2022-02-28,90512
7,Liam Clark,39,PHD,FEMALE,UK,60,2022-04-22,94993
8,Emma Scott,62,MS,MALE,UK,80,2023-05-21,150198
9,Elijah Davis,65,MBA,MALE,GERMANY,10,2022-07-09,68675
10,Sophia Wright,42,MS,FEMALE,SPAIN,80,2021-05-05,92325
11,Elijah King,38,PHD,FEMALE,ITALY,40,2021-09-16,71915
12,Noah Brown,31,MS,FEMALE,AUSTRALIA,20,2023-07-20,121348
13,Evelyn Rodriguez,57,BS,MALE,JAPAN,50,2025-06-04,98469
14,James Garcia,51,BS,FEMALE,JAPAN,30,2024-02-28,141959
15,Logan Allen,60,MS,MALE,ITALY,30,2024-09-01,138504
16,Lucas Young,23,BS,FEMALE,FRANCE,40,2020-04-19,70322
17,Emma Young,26,MS,MALE,INDIA,,2021-05-17,139507
18,James Miller,56,MS,FEMALE,SPAIN,60,2023-09-15,75860
19,Mason Davis,26,MBA,MALE,AUSTRALIA,,2021-10-08,60942
20,Emma Johnson,36,BS,MALE,ITALY,20,2024-04-09,147684
21,Benjamin Miller,56,MS,FEMALE,GERMANY,80,2023-04-04,72704
22,James Lopez,49,PHD,FEMALE,USA,20,2020-07-24,104473
23,Liam Davis,34,MS,FEMALE,UK,70,2021-05-15,92742
24,Emma Walker,57,BS,MALE,JAPAN,10,2020-04-06,113269
25,Benjamin Young,35,PHD,MALE,UK,70,2020-07-09,119638
26,Logan Lewis,57,PHD,MALE,GERMANY,50,2021-01-19,156434
27,Elijah Johnson,42,BS,MALE,AUSTRALIA,80,2024-09-06,67455
28,Evelyn Williams,33,BS,MALE,GERMANY,70,2020-10-08,135880
29,Alexander Johnson,61,BS,FEMALE,AUSTRALIA,,2024-06-09,86772
30,Lucas Davis,38,PHD,MALE,FRANCE,80,2022-02-01,120068
31,Alexander Wright,28,BS,MALE,JAPAN,50,2021-06-03,92018
32,Mia Martinez,32,PHD,FEMALE,AUSTRALIA,,2020-11-27,132692
33,Logan Brown,30,MBA,MALE,CANADA,,2021-05-10,139276
34,Sophia Lee,35,MBA,FEMALE,FRANCE,10,2020-11-14,96265
35,Noah Smith,43,MS,FEMALE,UK,80,2024-12-14,133519
36,Ava Brown,26,MS,MALE,ITALY,,2024-03-14,76704
37,Noah Martinez,45,BS,FEMALE,GERMANY,40,2025-02-12,133385
38,James Scott,31,MS,MALE,UK,70,2020-03-24,103540
39,James Davis,39,MS,MALE,SPAIN,10,2023-04-07,120332
40,Mia Martinez,36,MS,MALE,GERMANY,70,2022-05-28,69099
41,Isabella Lopez,63,PHD,FEMALE,USA,20,2022-03-19,94795
42,Noah Brown,60,PHD,FEMALE,ITALY,70,2024-09-04,110488
43,Abigail Miller,38,BS,FEMALE,USA,,2024-11-24,157248
44,Sophia Lopez,49,BS,FEMALE,AUSTRALIA,60,2025-02-24,99363
45,Evelyn Martinez,64,PHD,FEMALE,SPAIN,50,2024-03-07,115108
46,Amelia Garcia,61,MBA,FEMALE,JAPAN,10,2022-05-07,116346
47,Abigail Scott,63,MBA,FEMALE,INDIA,80,2025-04-17,122021
48,Ethan Williams,40,MBA,MALE,GERMANY,50,2021-04-05,63201
49,Noah Davis,52,BS,FEMALE,SPAIN,,2021-12-23,110328
50,Benjamin Clark,37,MS,MALE,CANADA,70,2021-03-26,151214
51,Evelyn Walker,25,MS,MALE,INDIA,30,2023-11-17,133259
52,Alexander Lee,50,PHD,FEMALE,UK,80,2023-05-25,92406
53,Isabella Allen,53,MS,FEMALE,INDIA,20,2025-05-08,95614
54,Lucas Lee,56,BS,MALE,UK,40,2023-12-05,152591
55,Sophia Williams,48,PHD,FEMALE,JAPAN,80,2023-01-07,115069
56,Amelia Wright,23,PHD,FEMALE,USA,60,2022-07-28,114921
57,Elijah King,60,MS,FEMALE,GERMANY,50,2023-08-01,110968
58,Lucas Clark,32,PHD,MALE,AUSTRALIA,,2020-07-19,133975
59,Ava Williams,63,PHD,MALE,INDIA,30,2020-05-13,102906
60,Sophia Walker,42,MBA,FEMALE,FRANCE,70,2022-02-16,62540
61,Elijah Johnson,44,MS,MALE,USA,10,2021-04-27,62671
62,Alexander Jones,37,MS,FEMALE,CANADA,,2021-08-23,93586
63,Mia Garcia,60,BS,MALE,FRANCE,20,2024-01-10,135470
64,Amelia Clark,34,BS,MALE,CANADA,50,2025-10-26,75866
65,Abigail Johnson,44,PHD,FEMALE,CANADA,,2025-06-01,115057
66,Benjamin Brown,49,MBA,FEMALE,UK,70,2021-12-17,145256
67,Isabella Scott,56,PHD,FEMALE,SPAIN,,2022-06-28,92177
68,Emma Rodriguez,50,MS,FEMALE,AUSTRALIA,,2025-07-11,63761
69,Benjamin Lee,33,PHD,MALE,ITALY,50,2022-05-20,151905
70,Isabella King,22,MS,MALE,GERMANY,70,2023-09-25,91499
71,Benjamin Young,50,BS,MALE,FRANCE,40,2023-12-08,100135
72,Abigail Lopez,52,MBA,FEMALE,JAPAN,60,2022-12-15,95509
73,Logan Rodriguez,36,BS,MALE,ITALY,20,2025-09-25,150461
74,Ethan Miller,35,PHD,FEMALE,AUSTRALIA,,2024-05-04,85443
75,Logan Davis,45,MS,FEMALE,USA,,2021-05-02,67146
76,Elijah Martinez,30,PHD,MALE,USA,,2022-08-16,117733
77,Lucas Garcia,25,MBA,FEMALE,CANADA,20,2023-08-03,135631
78,Noah Jones,31,MBA,MALE,GERMANY,20,2024-07-20,138135
79,Alexander Davis,55,PHD,FEMALE,INDIA,50,2024-07-10,134531
80,Alexander Johnson,61,BS,MALE,GERMANY,50,2025-02-06,91439
81,Ethan King,26,MS,MALE,SPAIN,80,2025-10-16,98175
82,Noah Davis,40,MBA,FEMALE,CANADA,40,2022-11-19,146662
83,Sophia Lewis,29,MS,MALE,FRANCE,30,2020-01-06,100319
84,Alexander Wright,40,PHD,MALE,INDIA,50,2025-07-09,125597
85,Elijah Young,50,BS,MALE,SPAIN,60,2024-05-01,71970
86,Mason Wright,59,BS,FEMALE,AUSTRALIA,10,2021-08-17,145394
87,Harper Rodriguez,33,PHD,FEMALE,CANADA,80,2022-07-11,102081
88,Liam Garcia,43,PHD,FEMALE,FRANCE,70,2024-01-15,71542
89,Lucas Rodriguez,42,BS,FEMALE,JAPAN,10,2025-09-15,114165
90,Noah Miller,55,MBA,FEMALE,INDIA,10,2021-05-18,77172
91,Logan Walker,53,BS,MALE,AUSTRALIA,40,2025-03-10,132199
92,Ava King,48,BS,MALE,CANADA,80,2020-11-27,80181
93,Benjamin Martinez,54,MBA,FEMALE,INDIA,80,2021-08-18,78958
94,Amelia Miller,60,MS,MALE,FRANCE,70,2022-09-09,60336
95,Logan Martinez,59,PHD,MALE,INDIA,,2023-06-11,132340
96,Elijah Clark,51,MBA,MALE,GERMANY,,2023-04-28,113841
97,Noah Lee,52,PHD,FEMALE,UK,80,2020-03-17,137356
98,Lucas Brown,50,BS,FEMALE,USA,30,2023-11-05,69807
99,Benjamin Rodriguez,43,PHD,MALE,ITALY,,2023-06-21,154203
100,Benjamin King,24,BS,MALE,FRANCE,40,2025-02-14,72903
101,Liam Walker,32,MBA,MALE,USA,60,2020-05-12,109131
102,James Jones,37,PHD,MALE,UK,30,2020-10-28,110140
103,Alexander Davis,53,MS,MALE,INDIA,50,2023-05-22,61231
104,Harper Martinez,65,MS,MALE,INDIA,60,2024-05-21,115615
105,Isabella Walker,41,MS,FEMALE,INDIA,20,2021-07-19,107049
106,Abigail Martinez,40,BS,FEMALE,FRANCE,10,2024-11-25,157605
